,rm,lstat,indus,ptratio,medv
0,6.575,4.98,2.31,15.3,24.0
1,6.421,9.14,7.07,17.8,21.6
2,7.185,4.03,7.07,17.8,34.7
3,6.998,2.94,2.18,18.7,33.4
4,7.147,5.33,2.18,18.7,36.2
5,6.43,5.21,2.18,18.7,28.7
6,6.012,12.43,7.87,15.2,22.9
7,6.172,19.15,7.87,15.2,27.1
8,5.631,29.93,7.87,15.2,16.5
9,6.004,17.1,7.87,15.2,18.9
10,6.377,20.45,7.87,15.2,15.0
11,6.009,13.27,7.87,15.2,18.9
12,5.889,15.71,7.87,15.2,21.7
13,5.949,8.26,8.14,21.0,20.4
14,6.096,10.26,8.14,21.0,18.2
15,5.834,8.47,8.14,21.0,19.9
16,5.935,6.58,8.14,21.0,23.1
17,5.99,14.67,8.14,21.0,17.5
18,5.456,11.69,8.14,21.0,20.2
19,5.727,11.28,8.14,21.0,18.2
20,5.57,21.02,8.14,21.0,13.6
21,5.965,13.83,8.14,21.0,19.6
22,6.142,18.72,8.14,21.0,15.2
23,5.813,19.88,8.14,21.0,14.5
24,5.924,16.3,8.14,21.0,15.6
25,5.599,16.51,8.14,21.0,13.9
26,5.813,14.81,8.14,21.0,16.6
27,6.047,17.28,8.14,21.0,14.8
28,6.495,12.8,8.14,21.0,18.4
29,6.674,11.98,8.14,21.0,21.0
30,5.713,22.6,8.14,21.0,12.7
31,6.072,13.04,8.14,21.0,14.5
32,5.95,27.71,8.14,21.0,13.2
33,5.701,18.35,8.14,21.0,13.1
34,6.096,20.34,8.14,21.0,13.5
35,5.933,9.68,5.96,19.2,18.9
36,5.841,11.41,5.96,19.2,20.0
37,5.85,8.77,5.96,19.2,21.0
38,5.966,10.13,5.96,19.2,24.7
39,6.595,4.32,2.95,18.3,30.8
40,7.024,1.98,2.95,18.3,34.9
41,6.77,4.84,6.91,17.9,26.6
42,6.169,5.81,6.91,17.9,25.3
43,6.211,7.44,6.91,17.9,24.7
44,6.069,9.55,6.91,17.9,21.2
45,5.682,10.21,6.91,17.9,19.3
46,5.786,14.15,6.91,17.9,20.0
47,6.03,18.8,6.91,17.9,16.6
48,5.399,30.81,6.91,17.9,14.4
49,5.602,16.2,6.91,17.9,19.4
50,5.963,13.45,5.64,16.8,19.7
51,6.115,9.43,5.64,16.8,20.5
52,6.511,5.28,5.64,16.8,25.0
53,5.998,8.43,5.64,16.8,23.4
54,5.888,14.8,4.0,21.1,18.9
55,7.249,4.81,1.22,17.9,35.4
56,6.383,5.77,0.74,17.3,24.7
57,6.816,3.95,1.32,15.1,31.6
58,6.145,6.86,5.13,19.7,23.3
59,5.927,9.22,5.13,19.7,19.6
60,5.741,13.15,5.13,19.7,18.7
61,5.966,14.44,5.13,19.7,16.0
62,6.456,6.73,5.13,19.7,22.2
63,6.762,9.5,5.13,19.7,25.0
64,7.104,8.05,1.38,18.6,33.0
65,6.29,4.67,3.37,16.1,23.5
66,5.787,10.24,3.37,16.1,19.4
67,5.878,8.1,6.07,18.9,22.0
68,5.594,13.09,6.07,18.9,17.4
69,5.885,8.79,6.07,18.9,20.9
70,6.417,6.72,10.81,19.2,24.2
71,5.961,9.88,10.81,19.2,21.7
72,6.065,5.52,10.81,19.2,22.8
73,6.245,7.54,10.81,19.2,23.4
74,6.273,6.78,12.83,18.7,24.1
75,6.286,8.94,12.83,18.7,21.4
76,6.279,11.97,12.83,18.7,20.0
77,6.14,10.27,12.83,18.7,20.8
78,6.232,12.34,12.83,18.7,21.2
79,5.874,9.1,12.83,18.7,20.3
80,6.727,5.29,4.86,19.0,28.0
81,6.619,7.22,4.86,19.0,23.9
82,6.302,6.72,4.86,19.0,24.8
83,6.167,7.51,4.86,19.0,22.9
84,6.389,9.62,4.49,18.5,23.9
85,6.63,6.53,4.49,18.5,26.6
86,6.015,12.86,4.49,18.5,22.5
87,6.121,8.44,4.49,18.5,22.2
88,7.007,5.5,3.41,17.8,23.6
89,7.079,5.7,3.41,17.8,28.7
90,6.417,8.81,3.41,17.8,22.6
91,6.405,8.2,3.41,17.8,22.0
92,6.442,8.16,15.04,18.2,22.9
93,6.211,6.21,15.04,18.2,25.0
94,6.249,10.59,15.04,18.2,20.6
95,6.625,6.65,2.89,18.0,28.4
96,6.163,11.34,2.89,18.0,21.4
97,8.069,4.21,2.89,18.0,38.7
98,7.82,3.57,2.89,18.0,43.8
99,7.416,6.19,2.89,18.0,33.2
100,6.727,9.42,8.56,20.9,27.5
101,6.781,7.67,8.56,20.9,26.5
102,6.405,10.63,8.56,20.9,18.6
103,6.137,13.44,8.56,20.9,19.3
104,6.167,12.33,8.56,20.9,20.1
105,5.851,16.47,8.56,20.9,19.5
106,5.836,18.66,8.56,20.9,19.5
107,6.127,14.09,8.56,20.9,20.4
108,6.474,12.27,8.56,20.9,19.8
109,6.229,15.55,8.56,20.9,19.4
110,6.195,13.0,8.56,20.9,21.7
111,6.715,10.16,10.01,17.8,22.8
112,5.913,16.21,10.01,17.8,18.8
113,6.092,17.09,10.01,17.8,18.7
114,6.254,10.45,10.01,17.8,18.5
115,5.928,15.76,10.01,17.8,18.3
116,6.176,12.04,10.01,17.8,21.2
117,6.021,10.3,10.01,17.8,19.2
118,5.872,15.37,10.01,17.8,20.4
119,5.731,13.61,10.01,17.8,19.3
120,5.87,14.37,25.65,19.1,22.0
121,6.004,14.27,25.65,19.1,20.3
122,5.961,17.93,25.65,19.1,20.5
123,5.856,25.41,25.65,19.1,17.3
124,5.879,17.58,25.65,19.1,18.8
125,5.986,14.81,25.65,19.1,21.4
126,5.613,27.26,25.65,19.1,15.7
127,5.693,17.19,21.89,21.2,16.2
128,6.431,15.39,21.89,21.2,18.0
129,5.637,18.34,21.89,21.2,14.3
130,6.458,12.6,21.89,21.2,19.2
131,6.326,12.26,21.89,21.2,19.6
132,6.372,11.12,21.89,21.2,23.0
133,5.822,15.03,21.89,21.2,18.4
134,5.757,17.31,21.89,21.2,15.6
135,6.335,16.96,21.89,21.2,18.1
136,5.942,16.9,21.89,21.2,17.4
137,6.454,14.59,21.89,21.2,17.1
138,5.857,21.32,21.89,21.2,13.3
139,6.151,18.46,21.89,21.2,17.8
140,6.174,24.16,21.89,21.2,14.0
141,5.019,34.41,21.89,21.2,14.4
142,5.403,26.82,19.58,14.7,13.4
143,5.468,26.42,19.58,14.7,15.6
144,4.903,29.29,19.58,14.7,11.8
145,6.13,27.8,19.58,14.7,13.8
146,5.628,16.65,19.58,14.7,15.6
147,4.926,29.53,19.58,14.7,14.6
148,5.186,28.32,19.58,14.7,17.8
149,5.597,21.45,19.58,14.7,15.4
150,6.122,14.1,19.58,14.7,21.5
151,5.404,13.28,19.58,14.7,19.6
